region_code,region_name,sido,type,issuer,rank,quadrant,N,R,A,E,resource,NEAR_A,R_KCCI,R3_integratedCare,E3,E3b,IC_total,IC_per10k,IC_special
11180,금천구,서울,구,True,30,II,35.8369556131644,25.29810266551668,78.43915343915344,53.887449999551535,52.54156870140722,84.62309089482503,22.71905999808336,29.166666666666668,8.37747852436848,5.0,62,2.74,20
11060,동대문구,서울,구,True,31,II,35.93502939803821,27.1604278777472,80.98544973544975,49.30173949574274,52.48253903631323,84.51502433729412,27.013411542277066,27.380952380952383,10.61486219018588,5.0,59,1.78,23
11010,종로구,서울,구,True,32,II,33.60330058468271,30.764421091742463,70.80026455026456,51.84370885776607,51.13613149992437,84.33448120758301,33.020066898935845,27.380952380952383,15.578320723315477,5.0,59,4.31,24
11140,마포구,서울,구,True,33,II,31.756422482012766,22.452756917451705,81.60273368606701,46.37391572107574,50.14313544153149,84.2649242005251,21.9450710528957,23.214285714285715,11.045232089784903,5.0,52,1.42,28
11170,구로구,서울,구,True,34,II,34.65012818230345,21.251191048246422,79.13359788359789,54.02866604050167,51.471151657448665,84.14608756629694,29.46627079469642,8.928571428571429,10.216200529344594,5.0,28,0.72,21
11120,은평구,서울,구,True,35,II,36.43870890004039,28.807707579783965,82.06569664902997,45.096587743481926,51.989997324098624,83.77064287407843,25.79062374408439,33.33333333333333,13.963257161337037,5.0,69,1.49,34
31370,가평군,경기,군,True,36,II,39.379977307659225,30.33602594584818,74.0079365079365,55.93299929476898,53.42565391618456,83.73566526235494,31.115598798635855,29.166666666666668,51.30946829440329,65.0,62,10.0,8
24050,광산구,광주,구,False,37,II,27.327703205326543,32.16203591806487,64.88095238095238,44.899485234430045,47.31415784448243,83.65030624181915,30.98434557772717,33.92857142857143,23.89021247936376,25.0,70,1.67,14
11190,영등포구,서울,구,True,38,II,34.14500643347539,24.1225677996044,73.73236331569666,54.07967248205839,50.64486786578649,83.5723646490488,29.88681934854701,15.476190476190476,11.449026204631217,5.0,39,1.04,13
11020,중구,서울,구,True,39,II,35.01430112148476,21.07861628364875,81.13977072310405,50.995886141951495,51.07142438290144,83.56427382215905,26.79769380608125,12.5,7.328251257924663,5.0,34,2.86,8
11030,용산구,서울,구,True,40,II,31.415895238745684,24.982530847620097,72.42063492063492,50.03877385666377,49.147313208306265,83.43936558893343,23.38358315873191,27.380952380952383,16.070358011587697,5.0,59,2.72,25
31550,연천군,경기,군,True,41,II,32.39882033149859,23.833237144464533,66.26533391884269,57.82936449240293,49.30931185190338,83.10990168615409,28.610950796329774,16.666666666666664,54.08801213841603,65.0,41,10.0,5
31280,여주시,경기,시,True,42,II,32.20909591670709,24.865260718729463,73.23633156966491,48.31754764277383,48.80637997705608,82.70183201870253,29.934164689945938,17.261904761904763,47.0171110406414,65.0,42,3.62,15
31060,광명시,경기,시,True,43,II,24.28559043448448,28.673414978273,60.89065255731923,44.86967576888489,44.81124776815904,82.6684525509168,24.376326551089925,35.11904761904761,44.05883189924452,65.0,72,2.56,46
11160,강서구,서울,구,True,44,II,39.44366114491926,32.71249378267218,79.21075837742504,45.07146017717088,52.33157077908936,82.60974020662974,28.330346780644103,39.285714285714285,11.970704459416726,5.0,79,1.43,40
11130,서대문구,서울,구,True,45,II,33.24510284368744,18.96016218493895,78.28483245149911,49.13178771226625,48.79226078290144,82.16970936105773,26.838365546326827,7.142857142857142,16.457111508358643,5.0,25,0.82,18
31080,동두천시,경기,시,True,46,II,34.48235638368141,23.266176860262103,73.69929453262787,50.51610097702004,49.16052412330334,81.91934593146263,28.85632651313525,14.88095238095238,54.069893982302666,65.0,38,4.22,5
26040,북구,울산,구,False,47,II,24.56613861250085,27.505622706661207,72.94973544973544,31.490854267376125,43.98207080792426,81.69900150167383,28.77921244760995,25.59523809523809,21.128590284987016,17.5,56,2.52,8
11150,양천구,서울,구,True,48,II,30.60748696685335,24.34810276665917,69.7200176366843,44.92274282815584,46.330287743833104,81.02654426040642,29.072234769828786,17.261904761904763,13.090872412719298,5.0,42,0.97,18
11210,관악구,서울,구,True,49,II,40.21782783007456,27.081048474358163,76.5873015873016,48.653958438205926,50.774102833288566,80.66518891825129,28.468414123930277,25.0,13.186310091494615,5.0,55,1.12,23
31160,군포시,경기,시,True,50,II,26.895052812246085,25.23135072159336,57.418430335097,47.037102071922845,43.22896104287107,79.78143463674803,25.782409932814325,24.404761904761905,44.34850118564518,65.0,54,2.05,26
22310,달성군,대구,군,False,51,II,33.60526281500704,36.91703967269268,65.17857142857143,37.418434677652535,46.50468192630555,79.70205051880203,27.40141532750368,51.19047619047619,17.579459273415505,12.5,99,3.61,0
23010,중구,인천,구,False,52,II,29.39087229024424,23.33375453667844,75.89506172839506,33.892407400204775,44.373741221759424,79.6783050766373,29.762606767479937,13.690476190476192,21.517042444463183,25.0,36,2.48,8
23040,연수구,인천,구,False,53,II,24.171233674817163,21.07399619908152,64.93827160493827,35.951069673633405,40.6544458258844,78.56882898847581,28.37729525243745,10.11904761904762,23.11536644690032,25.0,30,0.77,3
11110,노원구,서울,구,True,54,II,37.37120518676244,38.88867906862944,57.220017636684304,45.09499316148014,47.06789662226464,78.38229402888342,30.68748098739828,51.19047619047619,15.19976354813122,5.0,99,2.02,18
21120,강서구,부산,구,False,55,II,32.03113440710482,22.121173854241665,72.85934744268079,37.18057931432015,44.05370020374753,78.03813300019512,24.96386118564087,17.857142857142858,12.739277165072288,15.0,43,2.99,0
11100,도봉구,서울,구,True,56,II,35.88453655697031,26.60607839638967,64.47310405643739,44.99679436486599,45.35865893923102,77.41639066074586,30.057749708268503,21.428571428571427,14.28940393394714,5.0,49,1.66,27
21310,기장군,부산,군,False,57,II,39.82120967700901,27.45287744661964,69.92724867724868,43.568790090837005,46.98297207156844,77.07236723306394,28.29447828404861,26.190476190476197,20.92065231613213,15.0,57,3.2,0
26310,울주군,울산,군,False,58,II,34.50850010733283,23.51655511114757,65.61948853615519,43.38484643845634,44.173630028586366,76.91937997491995,32.05140137572215,10.714285714285714,23.03832284479049,17.5,31,1.4,4
11090,강북구,서울,구,True,59,II,39.48459568103363,20.30805157701341,69.79717813051147,46.127020704564586,45.41075013736315,75.66845229684634,23.92611770772076,14.88095238095238,13.001641525926798,5.0,38,1.29,19
23320,옹진군,인천,군,False,60,I,46.01327093533393,29.285496251965583,70.41666666666666,45.63841412875258,48.446859015794935,75.44022354812797,38.88852549930772,14.88095238095238,47.27608218635038,25.0,38,18.1,13
23050,남동구,인천,구,False,61,II,37.76068169869946,33.39354966306556,64.32098765432099,33.88600624957531,43.86684785565395,74.98650700630422,37.401947851141,27.380952380952383,22.212583557506,25.0,59,1.17,0
23310,강화군,인천,군,False,62,II,42.540361090397376,33.2503462737632,62.237654320987644,42.41261458986523,45.96687172820536,74.69669118300666,40.33787871024025,22.61904761904762,33.97323219772296,25.0,51,7.29,10
23060,부평구,인천,구,False,63,II,36.50465268922597,32.57804541734703,60.15432098765432,35.924252815151185,42.88553974005085,74.63321339543786,31.280869346372032,34.523809523809526,22.5284269259272,25.0,71,1.45,50
