region_code,region_name,sido,type,issuer,rank,quadrant,N,R,A,E,resource,NEAR_A,R_KCCI,R3_integratedCare,E3,E3b,IC_total,IC_per10k,IC_special
31160,군포시,경기,시,True,48,II,20.977639520989733,26.36859989316876,50.27137496649692,48.15950168488849,41.5998255148514,81.11100575435653,27.67782521877333,24.404761904761905,51.08289886343909,65.0,54,2.05,26
26040,북구,울산,구,False,49,II,20.568959910719204,27.882458754524443,60.675757169659605,33.5195593149491,40.69259174637772,80.40811179101811,29.407272527382005,25.59523809523809,33.30082057042485,35.0,56,2.52,8
11170,구로구,서울,구,True,50,II,33.59834647842966,24.274437714850563,62.89366121683194,54.02866604050167,47.0655883240614,80.26641508484656,34.50501523903665,8.928571428571429,10.216200529344594,5.0,28,0.72,21
23010,중구,인천,구,False,51,II,22.705733356806768,25.615038940451164,61.96529080675421,36.83064316862922,41.47032430527821,80.11745762687482,33.56474744043448,13.690476190476192,39.14645705500987,50.0,36,2.48,8
31020,성남시,경기,시,True,52,II,20.79950600522037,19.351092953755508,54.91490217099974,47.03214757341573,40.43271423272366,80.03296123011347,25.10896444673537,10.714285714285714,51.70512335441833,65.0,31,0.34,9
00029,세종특별자치시,세종,시,True,53,II,30.00914727413407,28.451475283765426,73.59287054409006,33.027697290947835,45.02401437293444,80.0194407358674,34.72071277452967,19.047619047619047,34.31250744062044,35.0,45,1.15,16
11130,서대문구,서울,구,True,54,II,28.882082171761784,19.854178724489717,62.37771374966496,49.13178771226625,43.787893395473645,79.34685230959275,28.32839311224476,7.142857142857142,16.457111508358643,5.0,25,0.82,18
23040,연수구,인천,구,False,55,II,19.402422662049677,21.66793599792493,55.30487804878048,38.889305442057854,38.62070649625442,78.91949516522959,29.367194917176477,10.11904761904762,40.744781057447,50.0,30,0.77,3
11150,양천구,서울,구,True,56,II,28.65376409110448,27.348760807207945,57.17133476279818,44.92274282815584,43.147612799387325,78.82073075383508,34.07333150407673,17.261904761904763,13.090872412719298,5.0,42,0.97,18
11120,은평구,서울,구,True,57,II,36.45698603963191,29.786424835605484,64.67602519431787,45.096587743481926,46.51967925780176,78.29118623798581,27.42181917045359,33.33333333333333,13.963257161337037,5.0,69,1.49,34
11160,강서구,서울,구,True,58,II,41.662624888241375,39.285174774129786,62.94056553202894,45.07146017717088,49.09906682777654,78.26775438365586,39.28481509974012,39.285714285714285,11.970704459416726,5.0,79,1.43,40
22310,달성군,대구,군,False,59,II,33.998684608619506,38.66724723243662,56.91503618332887,38.84078591132453,44.80768977569667,77.80834747138692,30.3184279270769,51.19047619047619,26.11356667544744,25.0,99,3.61,0
31050,부천시,경기,시,True,60,II,32.037002210885,22.93173902599743,57.025596354864646,50.59047628970035,43.51593722352081,77.49743611807831,25.521152344916352,19.047619047619047,51.70512335441833,65.0,45,0.58,16
21120,강서구,부산,구,False,61,II,30.557388027022025,23.234799576625544,61.12168319485393,38.90610745494263,41.08753007547404,75.80883606196302,26.81990405628067,17.857142857142858,23.092446008807173,30.0,43,2.99,0
11210,관악구,서울,구,True,62,II,38.56345105493028,25.154047506684133,61.345818815331015,48.653958438205926,45.051274920073695,75.76954939260855,25.25674584447356,25.0,13.186310091494615,5.0,55,1.12,23
25030,서구,대전,구,False,63,II,32.08140087689573,32.18205968193659,49.93969445188958,42.53846922399831,41.553407785941495,75.51270734749363,40.54152804132289,19.642857142857142,56.4369691786746,70.0,46,0.96,9
